Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2016-09-09 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",1740,1204,2516,,,,1873,1588,2209,,,,1899,1360,2651,1561,1057,2305
2016-10-09 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2934,1979,4348,2445,1926,3104,3784,2897,4942,3271,2545,4205,3002,2081,4331,1599,1140,2244
2016-11-09 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2319,1671,3218,2108,1706,2605,2878,2126,3896,2568,2022,3261,2326,1780,3040,1615,1133,2301
2016-12-09 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2532,1608,3987,2937,2301,3749,2347,1813,3037,3449,2525,4711,1739,1164,2599,1532,1143,2053
09/13/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",1641,1167,2308,1802,1387,2341,1957,1406,2723,1736,1176,2562,1469,1106,1951,1379,1038,1833
09/14/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2295,1533,3433,2146,1689,2726,3327,2462,4497,2455,1962,3072,2380,1597,3548,1269,985,1634
09/15/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2552,1555,4186,2789,2241,3471,4472,2915,6860,2704,2080,3514,2399,1404,4101,1438,1130,1830
09/16/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2810,1697,4653,2832,2184,3672,4006,2607,6155,3263,2432,4378,2576,1557,4261,1452,958,2200
09/17/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2759,1715,4438,2259,1844,2767,4028,3230,5023,3278,2569,4184,2595,1503,4481,1491,1079,2060
09/18/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2198,1557,3102,2024,1412,2902,2558,2091,3131,2428,1982,2974,2125,1476,3059,1509,1080,2108
09/19/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2976,1821,4861,3351,2572,4366,4323,2949,6336,3732,3026,4604,2525,1603,3978,1505,1139,1989
09/20/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2444,1518,3937,2734,2119,3526,3112,2194,4414,2812,1479,5344,2186,1549,3085,1487,1148,1927
09/21/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2722,1819,4074,2923,2267,3767,3762,2874,4926,2930,2344,3663,2461,1624,3728,1508,1061,2143
09/22/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2691,1706,4243,2982,2256,3941,3497,2515,4862,3352,2595,4329,2216,1437,3418,1390,1078,1792
09/23/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2780,1885,4102,2712,2169,3390,3629,2824,4664,3144,2457,4021,2690,1872,3865,1398,1015,1925
